2025-08-05,09:30:00,4.7500,+0.1000,+2.15%
2025-08-05,10:30:00,4.7550,+0.0050,+0.11%
2025-08-05,11:30:00,4.7600,+0.0050,+0.11%
2025-08-05,13:30:00,4.7650,+0.0050,+0.10%
2025-08-05,14:30:00,4.7700,+0.0050,+0.10%
2025-08-07,09:30:00,4.7750,+0.0050,+0.10%
2025-08-07,10:30:00,4.7800,+0.0050,+0.10%
2025-08-07,11:30:00,4.7750,-0.0050,-0.10%
2025-08-07,13:30:00,4.7700,-0.0050,-0.10%
2025-08-07,14:30:00,4.7800,+0.0100,+0.21%
2025-08-07,20:37:50,4.7800,0.0000,0.00%2025-08-07,23:03:33,4.7800,0.0000,0.00%
2025-08-07,23:05:48,4.7800,0.0000,0.00%
