2025-08-05,09:30:00,16.7500,+0.2500,+1.52%
2025-08-05,09:31:00,16.7600,+0.0100,+0.06%
2025-08-05,09:32:00,16.7400,-0.0200,-0.12%
2025-08-05,09:33:00,16.7700,+0.0300,+0.18%
2025-08-05,09:34:00,16.7800,+0.0100,+0.06%
2025-08-05,09:35:00,16.7900,+0.0100,+0.06%
2025-08-05,09:36:00,16.7700,-0.0200,-0.12%
2025-08-05,09:37:00,16.7800,+0.0100,+0.06%
2025-08-05,09:38:00,16.7600,-0.0200,-0.12%
2025-08-05,09:39:00,16.7800,+0.0200,+0.12%
2025-08-07,00:02:23,16.7800,0.0000,0.00%2025-08-07,23:05:46,16.7800,0.0000,0.00%
2025-08-07,23:06:49,16.8700,0.0000,0.00%
